rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
54th,Allegan,42.2,9.8,74.6,26.84,26.84,8,0.5,3.0,0.5,0.5,1.25,3.0,0.5,0.5,Singles F1: 71st; Singles F2: 21st; Singles F3: 81st; Singles F4: 125th; Doubles F1: 34th; Doubles F2: 17th; Doubles F3: 92nd; Doubles F4: 92nd
55th,Jenison,42.2,7.0,77.4,24.19,24.19,8,0.5,1.25,0.5,0.5,1.25,0.5,1.25,1.25,Singles F1: 92nd; Singles F2: 34th; Singles F3: 66th; Singles F4: 72nd; Doubles F1: 64th; Doubles F2: 78th; Doubles F3: 36th; Doubles F4: 33rd
56th,Richland Gull Lake,42.1,10.8,73.5,26.87,26.87,7,0.5,3.0,1.25,0.5,3.0,1.25,0.0,1.25,Singles F1: 126th; Singles F2: 27th; Singles F3: 35th; Singles F4: 107th; Doubles F1: 31st; Doubles F2: 49th; Doubles F3: 129th; Doubles F4: 50th
57th,Paw Paw,42.0,8.0,76.0,24.82,24.82,8,0.5,0.5,0.5,0.5,1.25,3.0,1.25,0.5,Singles F1: 77th; Singles F2: 73rd; Singles F3: 91st; Singles F4: 88th; Doubles F1: 38th; Doubles F2: 18th; Doubles F3: 49th; Doubles F4: 69th
58th,Dexter,41.9,11.0,72.8,29.98,29.98,7,0.5,0.5,1.25,5.0,0.0,1.25,1.25,1.25,Singles F1: 128th; Singles F2: 96th; Singles F3: 34th; Singles F4: 15th; Doubles F1: 136th; Doubles F2: 63rd; Doubles F3: 46th; Doubles F4: 51st
59th,Holt,41.6,7.8,75.4,28.03,28.03,8,0.5,0.5,1.25,0.5,1.25,1.25,1.25,1.25,Singles F1: 80th; Singles F2: 85th; Singles F3: 58th; Singles F4: 77th; Doubles F1: 53rd; Doubles F2: 42nd; Doubles F3: 59th; Doubles F4: 61st
60th,Berrien Springs,41.4,12.8,70.0,28.35,28.35,6,3.0,3.0,0.0,0.0,1.25,1.25,1.25,3.0,Singles F1: 24th; Singles F2: 26th; Singles F3: 240th; Singles F4: 175th; Doubles F1: 44th; Doubles F2: 48th; Doubles F3: 48th; Doubles F4: 22nd
61st,Grand Ledge,41.1,10.2,71.9,24.09,24.09,6,0.5,1.25,1.25,3.0,1.25,3.0,0.0,0.0,Singles F1: 78th; Singles F2: 57th; Singles F3: 49th; Singles F4: 26th; Doubles F1: 52nd; Doubles F2: 31st; Doubles F3: 148th; Doubles F4: 148th
62nd,Lansing Catholic,40.8,8.8,72.9,24.75,24.75,8,1.25,1.25,1.25,0.5,0.5,3.0,0.5,0.5,Singles F1: 37th; Singles F2: 58th; Singles F3: 48th; Singles F4: 90th; Doubles F1: 124th; Doubles F2: 26th; Doubles F3: 108th; Doubles F4: 76th
63rd,Romeo,38.8,7.2,70.3,27.09,27.09,7,1.25,1.25,1.25,0.5,1.25,1.25,0.5,0.0,Singles F1: 59th; Singles F2: 49th; Singles F3: 45th; Singles F4: 112th; Doubles F1: 50th; Doubles F2: 59th; Doubles F3: 107th; Doubles F4: 139th
